SESSION01_セッション全体について、どの程度ご満足いただけましたか？,SESSION01_スピーカーについて、どの程度ご満足いただけましたか？,SESSION01_セッションの内容について、どの程度ご満足いただけましたか？,SESSION01_良かった点をご記入ください。,SESSION01_改善が必要な点をご記入ください。,SESSION02_セッション全体について、どの程度ご満足いただけましたか？,SESSION02_スピーカーについて、どの程度ご満足いただけましたか？,SESSION02_セッションの内容について、どの程度ご満足いただけましたか？,SESSION02_良かった点をご記入ください。,SESSION02_改善が必要な点をご記入ください。
,,,,,,,,,
,,,,,,,,,
,,,,,満足,満足,満足,,
,,,,,,,,,
やや満足,やや満足,やや満足,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,満足,満足,満足,製品02の可能性を感じることが出来た。,スライド資料が見えにくかった。
,,,,,,,,,
,,,,,,,,,
,,,kubernetesについて、仕組み・概要を知ることでどのような案件に用いることが出来るのか理解できた,時間が押していたせいか少し駆け足だったところが残念でした。,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,やや満足,やや満足,やや満足,あまり製品に対する知識がなかったのですが、非常にわかりやすかったです。,会場がとても寒かった
